"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","Detroit Red Wings","82","4992.85","41","30","11","39","93","0.567","4459","4240","51.26","3371","3331","50.30","2433","2439","49.94","209","219","48.83","213.68","209.04","50.55","2178","2005","52.07","1324","1276","50.92","161","170","48.64","12.16","86.68","874","866","50.23","663","670","49.74","104","117","47.06","15.69","82.54","1304","1139","53.38","661","606","52.17","57","53","51.82","8.62","91.25","1957","1944","50.17","1016","1068","48.75","41","42","49.40","4.04","96.07","8.59","91.02","0.996"
"12","Edmonton Oilers","82","4981.8667","31","43","8","27","70","0.427","4513","4782","48.55","3283","3549","48.05","2387","2549","48.36","199","242","45.12","204.99","225.07","47.67","2109","2259","48.28","1323","1392","48.73","170","192","46.96","12.85","86.21","856","924","48.09","659","676","49.36","116","126","47.93","17.60","81.36","1253","1335","48.42","664","716","48.12","54","66","45.00","8.13","90.78","2012","2132","48.55","989","1092","47.53","28","43","39.44","2.83","96.06","8.34","90.51","0.988"
"13","Florida Panthers","82","4986.2333","47","26","9","40","103","0.628","4104","4257","49.09","3216","3315","49.24","2360","2419","49.38","232","200","53.70","208.4","203.2","50.63","1941","1913","50.36","1286","1250","50.71","189","160","54.15","14.70","87.20","793","791","50.06","616","618","49.92","115","102","53.00","18.67","83.50","1148","1122","50.57","670","632","51.46","74","58","56.06","11.04","90.82","1894","2014","48.46","1004","1082","48.13","37","33","52.86","3.69","96.95","9.83","91.73","1.016"
"14","Los Angeles Kings","82","4984.6167","48","28","6","46","102","0.622","5133","4201","54.99","3847","3174","54.79","2625","2255","53.79","223","192","53.73","222.73","202","52.44","2314","1994","53.71","1327","1192","52.68","168","144","53.85","12.66","87.92","931","800","53.78","642","591","52.07","116","94","55.24","18.07","84.09","1383","1194","53.67","685","601","53.27","52","50","50.98","7.59","91.68","2375","1885","55.75","1205","978","55.20","52","40","56.52","4.32","95.91","8.50","91.49","1.000"
"15","Minnesota Wild","82","4978.5","38","33","11","35","87","0.530","4379","4560","48.99","3277","3351","49.44","2375","2347","50.30","213","204","51.08","202.06","191.83","51.30","1965","1972","49.91","1191","1192","49.98","169","154","52.32","14.19","87.08","843","814","50.88","635","612","50.92","116","104","52.73","18.27","83.01","1122","1158","49.21","556","580","48.94","53","50","51.46","9.53","91.38","2033","2141","48.71","1128","1069","51.34","36","42","46.15","3.19","96.07","8.97","91.31","1.003"
"16","Montreal Canadiens","82","4973.8","37","38","7","33","81","0.494","4713","4449","51.44","3433","3305","50.95","2505","2408","50.99","216","233","48.11","215.65","210.41","50.61","2038","2065","49.67","1223","1234","49.78","178","197","47.47","14.55","84.04","893","864","50.83","653","640","50.50","108","140","43.55","16.54","78.13","1145","1201","48.81","570","594","48.97","70","57","55.12","12.28","90.40","2219","1982","52.82","1179","1061","52.63","35","30","53.85","2.97","97.17","8.62","90.32","0.989"
"17","New Jersey Devils","82","4991.3","38","36","8","36","84","0.512","3595","4236","45.91","2782","3182","46.65","2004","2349","46.04","182","202","47.40","178.15","209","46.02","1668","1916","46.54","1047","1215","46.29","147","154","48.84","14.04","87.33","691","799","46.38","530","615","46.29","106","97","52.22","20.00","84.23","977","1117","46.66","517","600","46.28","41","57","41.84","7.93","90.50","1701","1987","46.12","911","1063","46.15","29","42","40.85","3.18","96.05","9.08","91.40","1.005"
"18","Nashville Predators","82","4980.2167","41","27","14","37","96","0.585","4619","4271","51.96","3469","3039","53.30","2507","2243","52.78","224","213","51.26","204.39","177.4","53.53","2053","1780","53.56","1278","1093","53.90","164","168","49.40","12.83","84.63","785","664","54.18","602","502","54.53","108","116","48.21","17.94","76.89","1268","1116","53.19","676","591","53.35","56","52","51.85","8.28","91.20","2162","1987","52.11","1161","1038","52.80","51","38","57.30","4.39","96.34","8.93","90.50","0.994"
"19","New York Islanders","82","5005.05","44","27","10","40","98","0.598","4604","4730","49.33","3354","3408","49.60","2412","2496","49.14","227","211","51.83","215.04","218.86","49.56","2242","2361","48.71","1355","1451","48.29","172","168","50.59","12.69","88.42","932","951","49.50","725","760","48.82","127","112","53.14","17.52","85.26","1310","1410","48.16","630","691","47.69","45","56","44.55","7.14","91.90","1884","1917","49.57","892","921","49.20","45","33","57.69","5.04","96.42","9.41","91.55","1.010"
"20","New York Rangers","82","4974.4833","46","27","8","43","100","0.610","4366","4818","47.54","3273","3504","48.30","2337","2494","48.38","233","215","52.01","215.62","232.01","48.17","2053","2344","46.69","1221","1330","47.86","177","181","49.44","14.50","86.39","899","1024","46.75","660","742","47.08","124","132","48.44","18.79","82.21","1154","1320","46.65","561","588","48.83","53","49","51.96","9.45","91.67","1904","2072","47.89","981","1056","48.16","47","23","67.14","4.79","97.82","9.97","91.38","1.013"
"21","Ottawa Senators","82","5003.5833","38","35","9","32","85","0.518","4475","4869","47.89","3252","3673","46.96","2325","2688","46.38","230","241","48.83","195.99","226.3","46.41","2016","2318","46.52","1144","1378","45.36","168","196","46.15","14.69","85.78","817","920","47.04","592","679","46.58","113","119","48.71","19.09","82.47","1199","1398","46.17","552","699","44.12","55","77","41.67","9.96","88.98","2086","2215","48.50","1090","1231","46.96","52","39","57.14","4.77","96.83","9.89","91.03","1.009"
"22","Philadelphia Flyers","82","5012.5833","41","27","14","38","96","0.585","4903","4716","50.97","3555","3407","51.06","2542","2519","50.23","211","210","50.12","219.38","216.86","50.29","2064","2113","49.41","1200","1284","48.31","169","169","50.00","14.08","86.84","870","845","50.73","630","643","49.49","119","122","49.38","18.89","81.03","1194","1268","48.50","570","641","47.07","50","47","51.55","8.77","92.67","2338","2169","51.87","1203","1129","51.59","35","36","49.30","2.91","96.81","8.30","91.66","1.000"
"23","Pittsburgh Penguins","82","4984.7333","48","26","8","44","104","0.634","4831","4389","52.40","3638","3298","52.45","2722","2436","52.77","241","199","54.77","240.15","198.82","54.71","2400","1977","54.83","1554","1259","55.24","203","164","55.31","13.06","86.97","976","814","54.53","776","637","54.92","130","118","52.42","16.75","81.48","1424","1163","55.04","778","622","55.57","73","46","61.34","9.38","92.60","2089","2071","50.22","1081","1085","49.91","34","33","50.75","3.15","96.96","8.85","91.83","1.007"
"24","San Jose Sharks","82","4975.9","46","30","6","42","98","0.598","4722","4407","51.73","3506","3115","52.95","2491","2245","52.60","237","207","53.38","236.25","196.25","54.62","2276","1889","54.65","1361","1182","53.52","182","162","52.91","13.37","86.29","1030","778","56.97","748","592","55.82","125","100","55.56","16.71","83.11","1246","1111","52.86","613","590","50.96","57","62","47.90","9.30","89.49","2066","2072","49.93","1061","981","51.96","45","38","54.22","4.24","96.13","9.51","90.78","1.003"
"25","St Louis Blues","82","5005.0667","49","24","9","44","107","0.652","4495","4457","50.21","3392","3330","50.46","2474","2441","50.34","219","197","52.64","204.35","214.52","48.79","2161","2171","49.88","1366","1349","50.31","168","151","52.66","12.30","88.81","812","879","48.02","638","675","48.59","112","108","50.91","17.55","84.00","1349","1292","51.08","728","674","51.93","56","43","56.57","7.69","93.62","2030","1973","50.71","1018","1027","49.78","45","41","52.33","4.42","96.01","8.85","91.93","1.008"
"26","Tampa Bay Lightning","82","4966.7333","46","31","5","43","97","0.591","4551","4349","51.13","3397","3322","50.56","2403","2367","50.38","224","198","53.08","201.67","195.12","50.83","2067","1944","51.53","1276","1205","51.43","180","149","54.71","14.11","87.63","814","764","51.58","596","578","50.77","108","97","52.68","18.12","83.22","1253","1180","51.50","680","627","52.03","72","52","58.06","10.59","91.71","2211","2102","51.26","1055","1075","49.53","37","38","49.33","3.51","96.47","9.32","91.63","1.010"
"27","Toronto Maple Leafs","82","4996.5333","29","42","11","23","69","0.421","5036","4558","52.49","3703","3523","51.25","2515","2503","50.12","192","240","44.44","233.77","209.21","52.77","2310","2043","53.07","1346","1269","51.47","159","182","46.63","11.81","85.66","899","774","53.74","667","558","54.45","104","101","50.73","15.59","81.90","1411","1269","52.65","679","711","48.85","55","81","40.44","8.10","88.61","2382","2234","51.60","1087","1160","48.38","28","53","34.57","2.58","95.43","7.63","90.41","0.980"
"28","Vancouver Canucks","82","5004.35","31","38","13","26","75","0.457","4218","4665","47.48","3169","3607","46.77","2311","2668","46.41","186","239","43.76","187.16","233.65","44.48","2028","2491","44.88","1244","1565","44.29","144","197","42.23","11.58","87.41","821","1006","44.94","627","736","46.00","100","119","45.66","15.95","83.83","1207","1485","44.84","617","829","42.67","44","78","36.07","7.13","90.59","1865","1870","49.93","990","1022","49.20","36","37","49.32","3.64","96.38","8.05","91.04","0.991"
"29","Winnipeg Jets","82","4971.3833","35","39","8","32","78","0.476","4558","4464","50.52","3366","3331","50.26","2429","2423","50.06","212","236","47.32","208.12","220.46","48.56","2137","2130","50.08","1299","1325","49.50","174","187","48.20","13.39","85.89","870","930","48.33","641","692","48.09","110","135","44.90","17.16","80.49","1267","1200","51.36","658","633","50.97","64","52","55.17","9.73","91.79","2036","1958","50.98","1054","1020","50.82","32","44","42.11","3.04","95.69","8.73","90.26","0.990"
"30","Washington Capitals","82","4982.7","56","18","8","52","120","0.732","4702","4592","50.59","3496","3326","51.25","2510","2333","51.83","248","191","56.49","219.16","201.66","52.08","2244","2128","51.33","1390","1220","53.26","207","159","56.56","14.89","86.97","857","850","50.21","636","634","50.08","136","107","55.97","21.38","83.12","1387","1278","52.05","754","586","56.27","71","52","57.72","9.42","91.13","2116","2095","50.25","1006","1011","49.88","36","28","56.25","3.58","97.23","9.88","91.81","1.017"
